order_no,district,address,latitude,longitude
3797,Kathmandu,"Kamaladi , Kathmandu",27.709047,85.3194375
3769,Lalitpur,"Kupoundol , Lalitpur",27.6862181,85.3149142
3770,Kathmandu,"CHABAHIL , Kathmandu",27.7166069,85.3485072
3771,Bhaktapur,"Bhaktapur , Bhaktapur",27.6710221,85.4298197
3794,Kathmandu,"Durbarmarg , Kathmandu",27.7064748,85.31639
141,Lalitpur,"GWARKO , Lalitpur",27.6663423,85.3330053
3894,Lalitpur,"Pulchwok , Lalitpur",27.6782363,85.3168528
3834,Kathmandu,"Dillibazar , Kathmandu",27.705404,85.3266692
3835,Kathmandu,"Boudha , Kathmandu",27.7212981,85.3575479
3837,Lalitpur,"SATDOBATO , Lalitpur",27.6515356,85.327837
3838,Bhaktapur,"Suryabaniyak , Bhaktapur",27.6451028,85.4427153
3839,Kathmandu,"GONGABU , Kathmandu",27.7493381,85.321376
2113,Kathmandu,"Battisputali , Kathmandu",27.7054834,85.3439863
2114,Bhaktapur,"Sukuldhoka , Bhaktapur",27.6714409,85.4314318
2115,Kathmandu,"CHABAHIL , Kathmandu",27.7166069,85.3485072
2116,Kathmandu,"Kamaladi , Kathmandu",27.709047,85.3194375
2117,Kathmandu,"Dillibazar , Kathmandu",27.705404,85.3266692
2118,Kathmandu,"KALANKI , Kathmandu",27.6931052,85.2806539
2119,Bhaktapur,"Kaushaltar , Bhaktapur",27.6466335,85.3901803
2120,Kathmandu,"Maharajgunj , Kathmandu",27.7364789,85.3304212
2122,Kathmandu,"Newroad , Kathmandu",27.7033426,85.3115765
2123,Lalitpur,"Patan , Lalitpur",27.6644011,85.3187914
2124,Kathmandu,"Samakhushi , Kathmandu",27.7272671,85.317499
2125,Lalitpur,"SATDOBATO , Lalitpur",27.6515356,85.327837
2126,Kathmandu,"Sorahkhutte , Kathmandu",27.7185834,85.3094211
2127,Kathmandu,"Swoyambhu , Kathmandu",27.7192103,85.2955242
2128,Kathmandu,"Teku , Kathmandu",27.6953569,85.3039274
2129,Kathmandu,"THAMEL , Kathmandu",27.7153902,85.3123293
3234,Kathmandu,"Mahabouda , Kathmandu",27.7059032,85.3129755
3235,Kathmandu,"SAMAKHUSI , Kathmandu",27.7272671,85.317499
3236,Kathmandu,"CHABAHIL , Kathmandu",27.7166069,85.3485072
3237,Kathmandu,"KALANKI , Kathmandu",27.6931052,85.2806539
